ITINERARY_ID,SEQ,TITLE,CONTENT
267385,1,Ship Name,Marella Discovery 2
267385,2,Cruise Name,Iconic Italia
267385,7,Key Features - Itinerary,<ul><li>Historic Rome</li><li>Canoli tasting in Messina</li><li>The Spartan City of Taranto</li></ul>
267387,1,Ship Name,Marella Discovery 2
267387,2,Cruise Name,Adriatic Explorer
267387,7,Key Features - Itinerary,<ul><li>The sweeping bay of Koper</li><li>Split&#8217;s old town</li><li>Kotor&#8217;s river canyon</li></ul>
267387,100,Combine with,Aegean Shores Iconic Islands or Aegean Meze
267387,100,Add stay,3 or 7-night stay in Corfu
267387,100,Please Note,Just so you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
267389,1,Ship Name,Marella Discovery 2
267389,2,Cruise Name,Aegean Shores
267389,7,Key Features - Itinerary,<ul><li>Thira&#8217;s turquoise-tipped houses</li><li>Vibrant Mykonos Town</li><li>Athen&#8217;s ancient ruins</li></ul>
267389,100,Please Note,*Tender to shore<br /><br />Just to you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
267389,100,Combine with,Adriatic Explorer
267389,100,Add stay,3 or 7-night stay in Corfu
267391,1,Ship Name,Marella Discovery 2
267391,2,Cruise Name,Aegean Meze
267391,7,Key Features - Itinerary,<ul><li>Historical sites in Skiathos</li><li>Ephesus&#8217; Temple of Artemis</li><li>Kefalonia&#8217;s rugged coastline</li></ul>
267391,100,Please Note,*Tender to shore<br /><br />Just so you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
267391,100,Combine with,Adriatic Explorer
267391,100,Add stay,3 or 7-night stay in Corfu
267393,1,Ship Name,Marella Discovery 2
267393,2,Cruise Name,Iconic Islands
267393,7,Key Features - Itinerary,<ul><li>Rhodes&#8217; time-capsule old town</li><li>Chania&#8217;s textbook beaches</li><li>Ice-white sand in Zante</li></ul>
267393,100,Please Note,*Tender to shore<br /><br />Just so you know this itinerary may vary by sailing date. Please speak to your Travel Advisor for more details.
267393,100,Combine with,Adriatic Explorer
267393,100,Add stay,3 or 7-night stay in Corfu
262471,1,Ship Name,Marella Discovery 2
262471,2,Cruise Name,Pride of Panama
262471,3,Itinerary variation,Click the CHECK PRICES button for this date to see the full itinerary details.
262471,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay</li><li>Panama Canal</li><li>Kayaking Gatun Lake</li></ul>
190681,1,Ship Name,Marella Discovery 2
190681,2,Cruise Name,Atlantic Discoveries
190681,4,Adults Only,Please see A-Z Guide.
190681,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
190681,100,Please Note,* Tender to shore
190681,100,Combine with,Cuban Fusion for a 25-night itinerary
190685,1,Ship Name,Marella Discovery 2
190685,2,Cruise Name,Canarian Flavours
190687,1,Ship Name,Marella Discovery 2
190687,2,Cruise Name,Cuban Fusion
190687,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
190687,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
190687,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
190687,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
190687,100,Combine with,Exotic Explorer or Pride of Panama
190687,100,Add stay,7-night stay in Jamaica
190689,1,Ship Name,Marella Discovery 2
190689,2,Cruise Name,Cuban Fusion
190689,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
190689,100,Please Note,* Tender to shore
190691,1,Ship Name,Marella Discovery 2
190691,2,Cruise Name,Exotic Explorer
190691,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
190691,100,Combine with,Cuban Fusion
190691,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
190691,100,Add stay,7-night stay in Jamaica
190693,1,Ship Name,Marella Discovery 2
190693,2,Cruise Name,Pride of Panama
190693,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay </li><li>Panama Canal </li><li>Kayaking Gatun Lake</li></ul>
190693,100,Brochure production comment,For S18 brochures - please add in the sailing date 13th March 2018
190693,100,Combine with,Cuban Fusion
190693,100,Add stay,7-night stay in Jamaica
190693,100,Please Note,Just so you know this itinerary varies by sailing date. Please speak to your Travel Advisor for more details.
190695,1,Ship Name,Marella Discovery 2
190695,2,Cruise Name,Tropical Discoveries
190695,4,Adults Only,Please see A-Z Guide.
190695,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
190695,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
190697,1,Ship Name,Marella Discovery 2
190697,2,Cruise Name,Tropical Discoveries
190697,4,Adults Only,Please see A-Z Guide.
190697,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
301055,1,Ship Name,Marella Discovery 2
301055,2,Cruise Name,Cuban Fusion
301055,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
301055,100,Please Note,* Tender to shore
301059,1,Ship Name,Marella Discovery 2
301059,2,Cruise Name,Cuban Fusion
301059,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
301059,100,Please Note,* Tender to shore
307217,1,Ship Name,Marella Discovery 2
307217,2,Cruise Name,Canarian Flavours
307223,1,Ship Name,Marella Discovery 2
307223,2,Cruise Name,Cuban Fusion
307223,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
307223,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
307223,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
307223,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
307223,100,Combine with,Exotic Explorer or Pride of Panama
307223,100,Add stay,7-night stay in Jamaica
307229,1,Ship Name,Marella Discovery 2
307229,2,Cruise Name,Exotic Explorer
307229,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
307229,100,Combine with,Cuban Fusion
307229,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
307229,100,Add stay,7-night stay in Jamaica
307235,1,Ship Name,Marella Discovery 2
307235,2,Cruise Name,Pride of Panama
307235,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay </li><li>Panama Canal </li><li>Kayaking Gatun Lake</li></ul>
307235,100,Brochure production comment,For S18 brochures - please add in the sailing date 13th March 2018
307235,100,Combine with,Cuban Fusion
307235,100,Add stay,7-night stay in Jamaica
307235,100,Please Note,Just so you know this itinerary varies by sailing date. Please speak to your Travel Advisor for more details.
307265,1,Ship Name,Marella Discovery 2
307265,2,Cruise Name,Tropical Discoveries
307265,4,Adults Only,Please see A-Z Guide.
307265,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
307265,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
307271,1,Ship Name,Marella Discovery 2
307271,2,Cruise Name,Tropical Discoveries
307271,4,Adults Only,Please see A-Z Guide.
307271,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
307277,1,Ship Name,Marella Discovery 2
307277,2,Cruise Name,Atlantic Discoveries
307277,4,Adults Only,Please see A-Z Guide.
307277,7,Key Features - Itinerary,<ul><li>Secluded beaches in the Bahamas</li><li>Rum cocktails in Cuba</li><li>Portugals eclectic capital</li></ul>
307277,100,Please Note,* Tender to shore
307277,100,Combine with,Cuban Fusion for a 25-night itinerary
299599,1,Ship Name,Marella Discovery 2
299599,2,Cruise Name,Canarian Flavours
299605,1,Ship Name,Marella Discovery 2
299605,2,Cruise Name,Canarian Flavours
299609,1,Ship Name,Marella Discovery 2
299609,2,Cruise Name,Cuban Fusion
299609,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
299609,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
299609,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
299609,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
299609,100,Combine with,Exotic Explorer or Pride of Panama
299609,100,Add stay,7-night stay in Jamaica
299615,1,Ship Name,Marella Discovery 2
299615,2,Cruise Name,Cuban Fusion
299615,7,Key Features - Itinerary,<ul><li>Havana Old Town </li><li>Sample Jamaican rum </li><li>Cozumel lagoons</li></ul>
299615,100,Brochure production comment,S18 brochures - please add an overnight stay plug.
299615,100,Please Note,Just so you know this itineraray varies by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
299615,100,Sailing Dates,<strong>Sailings in 2017: </strong>28 Nov 12 Dec 26 Dec<br /><strong>Sailings in 2018: </strong>9 Jan 23 Jan 6 Feb 20 Feb 6 Mar 20 Mar 3 Apr
299615,100,Combine with,Exotic Explorer or Pride of Panama
299615,100,Add stay,7-night stay in Jamaica
299619,1,Ship Name,Marella Discovery 2
299619,2,Cruise Name,Exotic Explorer
299619,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
299619,100,Combine with,Cuban Fusion
299619,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
299619,100,Add stay,7-night stay in Jamaica
299625,1,Ship Name,Marella Discovery 2
299625,2,Cruise Name,Exotic Explorer
299625,7,Key Features - Itinerary,<ul><li>Cave tubing in Belize</li><li>Guatemalas vistas</li><li>Roatans butterfly farms</li></ul>
299625,100,Combine with,Cuban Fusion
299625,100,Please Note,Just so you know this itineraray may vary by sailing date. Please speak to your Travel Advisor for more details.<br /><br />* Tender to shore
299625,100,Add stay,7-night stay in Jamaica
299629,1,Ship Name,Marella Discovery 2
299629,2,Cruise Name,Pride of Panama
299629,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay </li><li>Panama Canal </li><li>Kayaking Gatun Lake</li></ul>
299629,100,Brochure production comment,For S18 brochures - please add in the sailing date 13th March 2018
299629,100,Combine with,Cuban Fusion
299629,100,Add stay,7-night stay in Jamaica
299629,100,Please Note,Just so you know this itinerary varies by sailing date. Please speak to your Travel Advisor for more details.
299635,1,Ship Name,Marella Discovery 2
299635,2,Cruise Name,Pride of Panama
299635,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay </li><li>Panama Canal </li><li>Kayaking Gatun Lake</li></ul>
299635,100,Brochure production comment,For S18 brochures - please add in the sailing date 13th March 2018
299635,100,Combine with,Cuban Fusion
299635,100,Add stay,7-night stay in Jamaica
299635,100,Please Note,Just so you know this itinerary varies by sailing date. Please speak to your Travel Advisor for more details.
299679,1,Ship Name,Marella Discovery 2
299679,2,Cruise Name,Tropical Discoveries
299679,4,Adults Only,Please see A-Z Guide.
299679,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
299679,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
299685,1,Ship Name,Marella Discovery 2
299685,2,Cruise Name,Tropical Discoveries
299685,4,Adults Only,Please see A-Z Guide.
299685,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
299685,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
388155,1,Ship Name,Marella Discovery 2
388155,2,Cruise Name,Pride of Panama
388155,7,Key Features - Itinerary,<ul><li>Jamaica&#8217;s Montego Bay </li><li>Panama Canal </li><li>Kayaking Gatun Lake</li></ul>
388155,100,Brochure production comment,For S18 brochures - please add in the sailing date 13th March 2018
388155,100,Combine with,Cuban Fusion
388155,100,Add stay,7-night stay in Jamaica
388155,100,Please Note,Just so you know this itinerary varies by sailing date. Please speak to your Travel Advisor for more details.
388189,1,Ship Name,Marella Discovery 2
388189,2,Cruise Name,Tropical Discoveries
388189,4,Adults Only,Please see A-Z Guide.
388189,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
388189,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
388191,1,Ship Name,Marella Discovery 2
388191,2,Cruise Name,Tropical Discoveries
388191,4,Adults Only,Please see A-Z Guide.
388191,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
388191,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
388193,1,Ship Name,Marella Discovery 2
388193,2,Cruise Name,Tropical Discoveries
388193,4,Adults Only,Please see A-Z Guide.
388193,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
388193,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
388195,1,Ship Name,Marella Discovery 2
388195,2,Cruise Name,Tropical Discoveries
388195,4,Adults Only,Please see A-Z Guide.
388195,7,Key Features - Itinerary,<ul><li>Sightseeing in Las Palmas</li><li>Cape Verdes colourful houses</li><li>White sands in Aruba</li></ul>
388195,100,Please Note,Just so you know you can also join this itinerary in Gran Canaria on 11th November.
388197,1,Ship Name,Marella Discovery 2
388197,2,Cruise Name,Tropical Discoveries
388197,4,Adults Only,Please see A-Z Guide.
388197,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
388199,1,Ship Name,Marella Discovery 2
388199,2,Cruise Name,Tropical Discoveries
388199,4,Adults Only,Please see A-Z Guide.
388199,7,Key Features - Itinerary,<ul><li>Shopping sprees in Las Palmas</li><li>Grenadas spice island</li><li>Colombias colourful houses</li></ul>
388201,1,Ship Name,Marella Discovery 2
